school_id,grade_id,program_id,regular_vacancies
1,9,1,200
1,10,2,29
1,11,3,4
1,11,4,17
1,11,5,21
1,11,6,20
1,11,7,15
1,11,8,54
1,11,9,25
1,12,10,18
1,12,11,18
1,12,12,16
1,12,13,3
1,12,14,18
1,12,15,9
1,12,16,12
4,9,17,350
4,10,18,10
4,11,19,8
4,12,20,2
5,1,21,25
5,2,22,7
5,3,23,5
5,4,24,1
5,5,25,3
5,6,26,0
5,7,27,1
5,8,28,1
5,9,29,92
5,10,30,23
5,11,31,19
5,12,32,8
7,9,33,341
7,10,34,76
7,11,35,8
7,11,36,6
7,11,37,10
7,11,38,0
7,11,39,1
7,11,40,5
7,12,41,4
7,12,42,4
7,12,43,13
7,12,44,0
7,12,45,2
7,12,46,9
8,-1,47,35
8,0,48,18
8,1,49,16
8,2,50,12
8,3,51,18
8,4,52,8
8,5,53,9
8,6,54,6
8,7,55,9
8,8,56,6
8,9,57,142
8,10,58,84
8,11,59,37
8,12,60,54
9,-1,61,112
9,0,62,37
9,1,63,51
9,2,64,13
9,3,65,8
9,4,66,18
9,5,67,17
9,6,68,21
9,7,69,18
9,8,70,13
10,-1,71,25
10,0,72,10
10,1,73,25
10,2,74,26
10,3,75,20
10,4,76,18
10,5,77,15
10,6,78,25
10,7,79,15
10,8,80,14
11,-1,81,35
11,0,82,13
11,1,83,14
11,2,84,7
11,3,85,6
11,4,86,13
11,5,87,9
11,6,88,7
11,7,89,10
11,8,90,11
12,-1,91,30
12,0,92,12
12,1,93,10
12,2,94,10
12,3,95,2
12,4,96,2
12,5,97,36
12,6,98,5
12,7,99,2
12,8,100,3
13,-1,101,30
13,0,102,15
13,1,103,23
13,2,104,8
13,3,105,12
13,4,106,5
13,5,107,13
13,6,108,6
13,7,109,7
13,8,110,5
14,-1,111,35
14,0,112,9
14,1,113,3
14,2,114,3
14,3,115,3
14,4,116,0
14,5,117,2
14,6,118,0
14,7,119,2
14,8,120,6
16,-1,121,30
16,0,122,4
16,1,123,7
16,2,124,9
16,3,125,4
16,4,126,6
16,5,127,9
16,6,128,4
16,7,129,5
16,8,130,3
17,-1,131,30
17,0,132,21
17,1,133,13
17,2,134,18
17,3,135,15
17,4,136,9
17,5,137,15
17,6,138,10
17,7,139,12
17,8,140,3
18,-1,141,35
18,0,142,26
18,1,143,17
18,2,144,13
18,3,145,5
18,4,146,1
18,5,147,41
18,6,148,34
18,7,149,22
18,8,150,29
19,-1,151,30
19,0,152,7
19,1,153,14
19,2,154,12
19,3,155,10
19,4,156,10
19,5,157,15
19,6,158,11
19,7,159,6
19,8,160,8
20,-1,161,60
20,0,162,37
20,1,163,33
20,2,164,18
20,3,165,26
20,4,166,12
20,5,167,18
20,6,168,10
20,7,169,15
20,8,170,9
22,-1,171,75
22,0,172,44
22,1,173,24
22,2,174,24
22,3,175,22
22,4,176,14
22,5,177,14
22,6,178,18
22,7,179,13
22,8,180,6
25,-1,181,40
25,0,182,11
25,1,183,29
25,2,184,14
25,3,185,4
25,4,186,7
25,5,187,7
25,6,188,22
25,7,189,2
25,8,190,10
25,9,191,24
25,10,192,12
25,11,193,12
25,12,194,22
26,-1,195,22
26,0,196,9
26,1,197,12
26,2,198,4
26,3,199,9
26,4,200,3
26,5,201,12
26,6,202,6
26,7,203,4
26,8,204,5
27,-1,205,20
27,0,206,7
27,1,207,20
27,2,208,15
27,3,209,8
27,4,210,2
