school_id,grade_id,program_id,regular_vacancies
1,9,1,120
1,10,2,26
1,11,3,25
1,11,4,13
1,11,5,28
1,11,6,26
1,11,7,27
1,11,8,24
1,11,9,22
1,12,10,25
1,12,11,5
1,12,12,29
1,12,13,20
1,12,14,20
1,12,15,16
1,12,16,13
4,9,17,210
4,10,18,5
4,11,19,3
4,12,20,1
5,1,21,25
5,2,22,3
5,3,23,0
5,4,24,2
5,5,25,0
5,6,26,1
5,7,27,0
5,8,28,0
5,9,29,68
5,10,30,0
5,11,31,0
5,12,32,0
7,9,33,290
7,10,34,12
7,11,35,10
7,11,36,3
7,11,37,0
7,11,38,2
7,11,39,2
7,11,40,15
7,12,41,1
7,12,42,0
7,12,43,25
7,12,44,3
7,12,45,3
7,12,46,6
8,-1,47,32
8,0,48,5
8,1,49,14
8,2,50,5
8,3,51,4
8,4,52,9
8,5,53,7
8,6,54,5
8,7,55,3
8,8,56,2
8,9,57,77
8,10,58,55
8,11,59,49
8,12,60,55
9,-1,61,87
9,0,62,27
9,1,63,31
9,2,64,9
9,3,65,37
9,4,66,22
9,5,67,10
9,6,68,7
9,7,69,0
9,8,70,0
10,-1,71,25
10,0,72,15
10,1,73,20
10,2,74,12
10,3,75,23
10,4,76,11
10,5,77,16
10,6,78,12
10,7,79,14
10,8,80,15
11,-1,81,35
11,0,82,17
11,1,83,11
11,2,84,2
11,3,85,2
11,4,86,8
11,5,87,23
11,6,88,8
11,7,89,19
11,8,90,39
12,-1,91,24
12,0,92,3
12,1,93,10
12,2,94,2
12,3,95,4
12,4,96,5
12,5,97,2
12,6,98,3
12,7,99,14
12,8,100,2
13,-1,101,25
13,0,102,1
13,1,103,17
13,2,104,13
13,3,105,14
13,4,106,7
13,5,107,3
13,6,108,7
13,7,109,1
13,8,110,3
14,-1,111,35
14,0,112,3
14,1,113,13
14,2,114,2
14,3,115,0
14,4,116,1
14,5,117,2
14,6,118,3
14,7,119,5
14,8,120,11
16,-1,121,30
16,0,122,2
16,1,123,4
16,2,124,2
16,3,125,2
16,4,126,3
16,5,127,0
16,6,128,0
16,7,129,2
16,8,130,0
17,-1,131,30
17,0,132,12
17,1,133,9
17,2,134,16
17,3,135,17
17,4,136,8
17,5,137,2
17,6,138,0
17,7,139,2
17,8,140,0
18,-1,141,37
18,0,142,16
18,1,143,16
18,2,144,38
18,3,145,28
18,4,146,20
18,5,147,20
18,6,148,28
18,7,149,17
18,8,150,26
19,-1,151,30
19,0,152,9
19,1,153,8
19,2,154,7
19,3,155,7
19,4,156,12
19,5,157,8
19,6,158,4
19,7,159,3
19,8,160,1
20,-1,161,40
20,0,162,21
20,1,163,13
20,2,164,7
20,3,165,14
20,4,166,6
20,5,167,5
20,6,168,6
20,7,169,6
20,8,170,1
22,-1,171,75
22,0,172,31
22,1,173,24
22,2,174,6
22,3,175,18
22,4,176,6
22,5,177,5
22,6,178,11
22,7,179,10
22,8,180,7
25,-1,181,40
25,0,182,15
25,1,183,35
25,2,184,21
25,3,185,23
25,4,186,1
25,5,187,9
25,6,188,25
25,7,189,0
25,8,190,13
25,9,191,29
25,10,192,35
25,11,193,18
25,12,194,10
26,-1,195,20
26,0,196,2
26,1,197,10
26,2,198,1
26,3,199,4
26,4,200,0
26,5,201,1
26,6,202,10
26,7,203,5
26,8,204,2
27,-1,205,20
27,0,206,3
27,1,207,23
27,2,208,12
27,3,209,6
27,4,210,1
27,5,211,4
27,6,212,7
27,7,213,2
27,8,214,7
28,-1,215,30
28,0,216,3
28,1,217,26
28,2,218,6
28,3,219,2
28,4,220,2
28,5,221,5
28,6,222,4
28,7,223,1
28,8,224,2
29,-1,225,50
29,0,226,31
29,1,227,20
29,2,228,26
29,3,229,2
29,4,230,17
29,5,231,18
29,6,232,9
29,7,233,6
29,8,234,18
31,-1,235,40
31,0,236,4
31,1,237,3
31,2,238,0
31,3,239,1
31,4,240,1
31,5,241,0
31,6,242,0
31,7,243,0
31,8,244,1
32,-1,245,64
32,0,246,2
32,1,247,1
32,2,248,2
32,3,249,3
32,4,250,2
32,5,251,0
32,6,252,1
32,7,253,0
32,8,254,0
32,9,255,2
32,10,256,3
32,11,257,2
32,12,258,5
33,-1,259,20
33,0,260,7
33,1,261,3
33,2,262,2
33,3,263,1
33,4,264,2
33,5,265,1
33,6,266,0
33,7,267,0
33,8,268,1
35,-1,269,18
35,0,270,9
35,1,271,3
35,2,272,1
35,3,273,0
35,4,274,1
35,5,275,1
35,6,276,1
36,-1,277,25
36,0,278,7
36,1,279,6
36,2,280,3
36,3,281,2
36,4,282,4
36,5,283,0
36,6,284,0
36,7,285,3
36,8,286,7
38,-1,287,35
38,0,288,1
38,1,289,1
38,2,290,20
38,3,291,0
38,4,292,5
38,5,293,9
38,6,294,1
38,7,295,0
38,8,296,0
39,0,297,10
39,1,298,3
39,2,299,1
39,3,300,1
39,4,301,0
39,5,302,0
39,6,303,0
41,1,304,6
41,2,305,0
41,3,306,0
41,4,307,1
41,5,308,0
41,6,309,0
42,1,310,5
42,2,311,3
42,3,312,4
42,4,313,1
42,5,314,1
42,6,315,1
45,-1,316,60
45,0,317,12
45,1,318,24
45,2,319,25
45,3,320,7
45,4,321,12
45,5,322,18
45,6,323,9
45,7,324,2
45,8,325,23
45,9,326,15
45,10,327,13
45,11,328,7
45,12,329,2
50,1,330,45
50,2,331,0
50,3,332,0
50,4,333,0
50,5,334,0
50,6,335,0
50,7,336,1
50,8,337,0
