applicant_id,grade_id,program_id,ranking,quota_id,priority_profile_ori,priority_profile_edi
3614307,13,230,1,3,6,1
3614307,13,371,2,3,5,1
3615807,15,429,1,3,6,1
3615807,15,415,2,5,5,1
3615807,15,373,3,3,4,1
3615807,15,265,4,3,3,1
3615838,10,227,1,4,34,4
3615894,9,409,1,11,35,5
3615894,9,273,2,11,5,1
3615907,4,94,1,11,6,1
3615907,4,349,2,3,4,1
3615907,4,156,3,11,3,1
3615907,4,331,4,3,3,1
3615907,4,395,5,11,1,1
3616050,12,426,1,3,6,1
3616050,12,21,2,3,5,1
3616088,4,180,1,2,6,1
3616088,4,349,2,2,5,1
3616089,9,226,1,2,6,1
3616089,9,121,2,2,5,1
3616089,9,354,3,2,4,1
3616093,12,229,1,4,33,3
3616093,12,370,2,2,5,1
3616104,4,218,1,11,34,4
3616138,2,298,1,8,6,1
3616138,2,178,2,2,5,1
3616138,2,347,3,2,4,1
3616138,2,99,4,2,3,1
3616138,2,318,5,2,2,1
3616138,2,384,6,2,1,1
3616144,3,416,1,11,35,5
3616151,14,31,1,2,6,1
3616151,14,231,2,4,5,1
3616151,14,264,3,2,4,1
3616160,13,18,1,2,6,1
3616160,13,371,2,2,5,1
3616173,11,228,1,4,6,1
3616173,11,327,2,2,5,1
3616173,11,307,3,8,4,1
3616173,11,108,4,2,3,1
3616173,11,123,5,2,2,1
3616181,11,228,1,4,34,4
3616220,1,383,1,3,6,1
3616220,1,215,2,11,5,1
3616222,1,346,1,3,6,1
3616222,1,177,2,3,5,1
3616222,1,215,3,11,4,1
3616222,1,383,4,3,3,1
3616223,1,91,1,11,6,1
3616223,1,215,2,11,5,1
3616223,1,177,3,3,4,1
3616224,13,230,1,3,6,1
3616224,13,18,2,3,5,1
3616224,13,371,3,3,4,1
3616224,13,358,4,3,3,1
3616224,13,427,5,3,2,1
3616224,13,277,6,11,1,1
3616232,4,417,1,11,6,1
3616232,4,189,2,11,5,1
3616232,4,156,3,11,4,1
3616232,4,198,4,11,3,1
3616232,4,349,5,3,2,1
3616232,4,362,6,11,1,1
3616237,3,133,1,11,6,1
3616237,3,188,2,11,5,1
3616237,3,155,3,11,4,1
3616237,3,233,4,11,20,5
3616237,3,361,5,11,2,1
3616237,3,267,6,11,1,1
3616240,11,228,1,4,6,1
3616314,12,229,1,1,6,1
3616314,12,370,2,2,29,4
3616326,11,225,1,11,33,3
3616358,13,263,1,3,6,1
3616358,13,290,2,3,5,1
3616365,9,380,1,11,33,3
3616367,9,185,1,11,6,1
3616367,9,203,2,11,5,1
3616367,9,286,3,11,4,1
3616367,9,305,4,11,3,1
3616367,9,325,5,11,2,1
3616368,13,290,1,2,34,4
3616368,13,230,2,1,5,1
3616368,13,358,3,2,4,1
3616369,10,381,1,3,6,1
3616374,13,290,1,3,6,1
3616374,13,22,2,3,5,1
3616374,13,79,3,3,4,1
3616377,13,290,1,2,6,1
3616377,13,358,2,2,5,1
3616381,8,285,1,11,6,1
3616381,8,313,2,11,5,1
3616381,8,399,3,11,4,1
3616381,8,202,4,11,3,1
3616390,13,230,1,3,34,4
3616390,13,371,2,3,5,1
3616390,13,18,3,3,4,1
3616404,13,358,1,3,6,1
3616404,13,371,2,3,5,1
3616404,13,263,3,3,4,1
3616409,12,229,1,1,6,1
3616413,10,227,1,1,6,1
3616413,10,355,2,2,5,1
3616413,10,306,3,8,4,1
3616413,10,326,4,2,3,1
3616415,8,353,1,2,6,1
3616419,9,354,1,2,34,4
3616419,9,226,2,4,5,1
3616422,10,227,1,1,6,1
3616427,4,70,1,11,6,1
3616427,4,207,2,11,5,1
3616427,4,198,3,11,4,1
3616441,10,227,1,4,6,1
3616441,10,355,2,2,5,1
3616441,10,306,3,8,4,1
3616441,10,107,4,2,3,1
3616441,10,122,5,2,2,1
3616441,10,326,6,2,1,1
3616444,12,229,1,4,6,1
3616445,13,263,1,3,6,1
3616445,13,294,2,5,5,1
3616445,13,413,3,6,25,5
3616445,13,371,4,3,3,1
3616449,10,227,1,3,6,1
3616455,9,314,1,11,34,4
3616476,10,186,1,2,33,3
3616478,3,188,1,11,6,1
3616478,3,319,2,3,30,5
3616478,3,133,3,11,4,1
3616478,3,155,4,11,3,1
3616478,3,267,5,11,2,1
3616478,3,280,6,11,1,1
3616487,3,217,1,11,6,1
3616487,3,348,2,3,5,1
3616489,12,357,1,2,6,1
3616506,12,357,1,2,6,1
3616506,12,229,2,1,5,1
3616506,12,25,3,2,4,1
3616506,12,289,4,2,3,1
3616506,12,370,5,2,2,1
3616506,12,262,6,2,1,1
3616518,11,228,1,4,6,1
3616521,12,229,1,4,6,1
3616521,12,357,2,2,5,1
3616521,12,426,3,2,4,1
3616526,12,229,1,1,6,1
3616526,12,21,2,2,5,1
3616526,12,426,3,2,4,1
3616526,12,370,4,2,3,1
3616526,12,262,5,2,2,1
3616527,4,218,1,11,6,1
3616529,11,228,1,3,6,1
3616529,11,77,2,11,5,1
3616544,6,302,1,2,33,3
3616544,6,182,2,2,28,3
3616550,10,186,1,3,6,1
3616568,11,228,1,4,6,1
3616570,3,188,1,11,36,6
3616575,4,156,1,11,6,1
3616575,4,70,2,11,5,1
3616575,4,207,3,11,4,1
3616575,4,125,4,11,3,1
3616575,4,134,5,11,2,1
3616599,13,358,1,2,6,1
3616599,13,22,2,2,5,1
3616599,13,230,3,1,4,1
3616599,13,371,4,2,3,1
3616618,9,305,1,9,33,3
3616624,4,70,1,11,33,3
3616624,4,207,2,11,28,3
3616624,4,268,3,11,23,3
3616626,13,427,1,3,6,1
3616626,13,371,2,3,5,1
3616626,13,263,3,3,4,1
3616626,13,277,4,11,3,1
3616626,13,6,5,3,2,1
3616626,13,358,6,3,1,1
3616637,4,300,1,10,35,5
3616641,12,370,1,3,6,1
3616641,12,229,2,3,5,1
3616642,12,229,1,1,6,1
3616645,7,303,1,9,33,3
3616647,3,253,1,11,35,5
3616647,3,124,2,11,30,5
3616647,3,385,3,11,25,5
3616661,11,228,1,3,6,1
3616670,6,182,1,2,6,1
3616686,3,179,1,3,6,1
3616686,3,69,2,11,28,3
3616686,3,348,3,3,4,1
3616686,3,111,4,3,3,1
3616690,3,217,1,11,6,1
3616690,3,197,2,11,30,5
3616695,15,360,1,3,6,1
3616695,15,415,2,5,5,1
3616695,15,373,3,3,4,1
3616695,15,296,4,6,20,5
3616699,11,307,1,9,6,1
3616714,13,230,1,11,6,1
3616714,13,79,2,11,5,1
3616714,13,371,3,11,4,1
3616715,13,371,1,3,6,1
3616715,13,290,2,3,5,1
3616717,13,230,1,3,6,1
3616717,13,371,2,3,5,1
3616724,3,206,1,11,34,4
3616734,11,228,1,1,33,3
3616740,9,226,1,3,33,3
3616746,3,111,1,11,33,3
3616746,3,93,2,11,5,1
3616746,3,348,3,11,4,1
3616746,3,164,4,11,37,7
3616746,3,100,5,11,2,1
3616746,3,308,6,11,1,1
3616764,13,413,1,6,35,5
3616764,13,79,2,11,5,1
3616764,13,277,3,11,4,1
3616764,13,358,4,3,3,1
3616769,8,184,1,3,33,3
3616769,8,202,2,3,28,3
3616772,4,70,1,11,34,4
3616776,1,251,1,11,34,4
3616776,1,297,2,10,30,5
3616793,3,179,1,3,6,1
3616793,3,330,2,3,30,5
3616793,3,348,3,3,4,1
3616793,3,100,4,3,3,1
3616793,3,93,5,11,2,1
3616799,2,178,1,2,6,1
3616799,2,347,2,2,5,1
3616799,2,99,3,2,4,1
3616799,2,298,4,8,3,1
3616810,4,207,1,11,6,1
3616810,4,70,2,11,5,1
3616810,4,125,3,11,24,4
3616810,4,94,4,11,3,1
3616816,14,372,1,3,6,1
3616816,14,231,2,3,5,1
3616816,14,295,3,6,25,5
3616829,6,209,1,11,33,3
3616842,8,184,1,3,6,1
3616842,8,202,2,11,5,1
3616842,8,353,3,3,4,1
3616842,8,335,4,3,20,5
3616843,1,177,1,2,6,1
3616843,1,98,2,2,5,1
3616843,1,317,3,2,4,1
3616843,1,328,4,2,3,1
3616843,1,346,5,2,2,1
3616843,1,383,6,2,1,1
3616844,13,427,1,2,6,1
3616844,13,22,2,2,5,1
3616852,13,371,1,2,6,1
3616854,4,207,1,11,33,3
3616857,1,297,1,7,6,1
3616857,1,346,2,2,5,1
3616865,1,177,1,2,6,1
3616865,1,346,2,2,5,1
3616865,1,328,3,2,4,1
3616865,1,317,4,2,3,1
3616865,1,297,5,7,2,1
3616865,1,109,6,2,1,1
3616866,10,227,1,4,6,1
3616869,13,371,1,3,6,1
3616869,13,413,2,6,30,5
3616885,15,415,1,6,35,5
3616885,15,81,2,11,5,1
3616885,15,360,3,3,4,1
3616885,15,373,4,3,3,1
3616886,2,298,1,10,33,3
3616888,2,178,1,2,6,1
3616888,2,347,2,2,5,1
3616888,2,99,3,2,4,1
3616888,2,298,4,8,3,1
3616891,10,306,1,9,6,1
3616898,13,6,1,3,6,1
3616898,13,79,2,11,5,1
3616898,13,371,3,3,4,1
3616898,13,427,4,3,3,1
3616898,13,174,5,11,2,1
3616898,13,358,6,3,1,1
3616899,9,273,1,11,6,1
3616905,10,227,1,2,6,1
3616905,10,186,2,2,5,1
3616905,10,107,3,2,4,1
3616906,3,179,1,2,6,1
3616906,3,319,2,2,5,1
3616906,3,299,3,2,4,1
3616906,3,348,4,2,3,1
3616906,3,330,5,2,2,1
3616914,1,215,1,11,6,1
3616914,1,153,2,11,5,1
3616914,1,177,3,3,4,1
3616915,4,94,1,11,6,1
3616915,4,198,2,11,5,1
3616915,4,134,3,11,4,1
3616915,4,349,4,3,3,1
3616915,4,180,5,3,2,1
3616915,4,417,6,11,1,1
3616917,13,427,1,3,6,1
3616917,13,30,2,3,5,1
3616917,13,263,3,3,4,1
3616917,13,79,4,11,3,1
3616917,13,294,5,6,15,5
3616926,13,79,1,11,6,1
3616926,13,371,2,3,5,1
3616926,13,427,3,3,4,1
3616927,9,354,1,2,6,1
3616927,9,226,2,2,5,1
3616927,9,106,3,2,4,1
3616927,9,325,4,2,3,1
3616929,4,404,1,11,35,5
3616929,4,156,2,11,5,1
3616932,3,280,1,11,35,5
3616932,3,374,2,11,29,4
3616933,10,186,1,3,36,6
3616941,10,122,1,3,6,1
3616941,10,368,2,3,5,1
3616942,3,308,1,11,6,1
3616942,3,111,2,3,5,1
3616942,3,233,3,11,25,5
3616942,3,133,4,11,3,1
3616942,3,253,5,11,2,1
3616942,3,242,6,11,1,1
3616951,7,352,1,2,6,1
3616951,7,104,2,2,5,1
3616951,7,115,3,2,4,1
3616951,7,334,4,2,3,1
3616953,3,164,1,11,36,6
3616964,3,133,1,11,34,4
3616965,1,383,1,3,6,1
3616965,1,109,2,3,5,1
3616965,1,328,3,3,4,1
3616973,12,78,1,11,6,1
3616973,12,370,2,3,5,1
3616975,4,243,1,11,6,1
3616975,4,198,2,11,5,1
3616975,4,300,3,9,4,1
3616975,4,386,4,3,3,1
3616979,10,122,1,3,6,1
3616979,10,186,2,3,30,5
3616979,10,355,3,3,4,1
3616983,14,372,1,3,6,1
3616983,14,80,2,11,5,1
3616983,14,231,3,3,4,1
3617001,1,346,1,2,34,4
3617009,8,202,1,11,35,5
3617010,13,290,1,3,6,1
3617012,5,181,1,2,6,1
3617012,5,350,2,2,5,1
3617012,5,102,3,2,4,1
3617012,5,301,4,8,3,1
3617013,5,219,1,11,6,1
3617013,5,418,2,11,5,1
3617013,5,332,3,3,4,1
3617013,5,199,4,11,3,1
3617013,5,190,5,11,2,1
3617013,5,157,6,11,1,1
3617033,5,350,1,3,6,1
3617033,5,181,2,3,30,5
3617033,5,332,3,3,4,1
3617033,5,219,4,11,3,1
3617033,5,95,5,11,2,1
3617050,15,415,1,6,35,5
3617051,13,413,1,5,6,1
3617055,10,227,1,4,6,1
3617069,13,358,1,3,6,1
3617069,13,290,2,3,5,1
3617080,4,112,1,3,6,1
3617080,4,189,2,11,5,1
3617080,4,362,3,11,25,5
3617080,4,70,4,11,3,1
3617080,4,207,5,11,2,1
3617081,13,371,1,3,6,1
3617081,13,10,2,3,5,1
3617081,13,263,3,3,4,1
3617096,4,180,1,3,6,1
3617096,4,94,2,11,5,1
3617101,8,184,1,2,6,1
3617112,14,80,1,11,6,1
3617112,14,231,2,11,5,1
3617112,14,414,3,11,4,1
3617113,13,79,1,11,6,1
3617113,13,263,2,3,5,1
3617113,13,358,3,3,4,1
3617124,12,229,1,1,6,1
3617131,3,69,2,11,5,1
3617131,3,267,3,11,4,1
3617133,12,5,1,3,6,1
3617133,12,229,2,3,5,1
3617133,12,78,3,11,4,1
3617133,12,412,4,6,20,5
3617133,12,426,5,3,2,1
3617140,11,228,1,4,6,1
3617142,14,372,1,3,6,1
3617142,14,23,2,3,5,1
3617142,14,231,3,3,4,1
3617142,14,291,4,3,3,1
3617142,14,175,5,11,2,1
3617142,14,359,6,3,1,1
3617146,6,333,1,3,33,3
3617146,6,182,2,3,5,1
3617146,6,351,3,3,4,1
3617148,9,354,1,2,34,4
3617151,12,21,1,2,6,1
3617152,11,228,1,3,6,1
3617152,11,275,2,11,5,1
3617155,1,346,1,3,6,1
3617155,1,177,2,3,5,1
3617158,11,228,1,3,6,1
3617162,6,72,1,11,6,1
3617162,6,182,2,3,5,1
3617162,6,200,3,11,4,1
3617162,6,96,4,11,3,1
3617162,6,220,5,11,2,1
3617162,6,270,6,11,1,1
3617163,7,210,1,11,33,3
3617163,7,73,2,11,28,3
3617164,8,353,1,2,34,4
3617196,4,180,1,2,6,1
3617200,14,372,1,3,6,1
3617200,14,428,2,3,5,1
3617201,10,227,1,4,6,1
3617206,3,69,1,11,34,4
3617206,3,348,2,3,5,1
3617206,3,179,3,3,4,1
3617206,3,197,4,11,3,1
3617206,3,206,5,11,2,1
3617206,3,330,6,3,10,5
3617209,1,346,1,3,6,1
3617209,1,251,2,11,5,1
3617209,1,153,3,11,4,1
3617209,1,177,4,3,3,1
3617209,1,297,5,10,2,1
3617216,8,313,1,3,34,4
3617216,8,116,2,3,5,1
3617216,8,211,3,3,4,1
3617225,1,177,1,2,6,1
3617237,9,226,1,3,6,1
3617251,1,328,1,3,36,6
3617251,1,346,2,3,5,1
3617251,1,177,3,3,4,1
3617251,1,215,4,11,3,1
3617262,1,98,1,3,36,6
3617271,4,309,1,11,6,1
3617322,1,346,1,2,6,1
3617332,13,413,1,6,35,5
3617333,3,253,1,11,34,4
3617333,3,308,2,11,5,1
3617333,3,361,3,11,4,1
3617336,6,322,1,2,6,1
3617336,6,351,2,2,5,1
3617336,6,182,3,2,4,1
3617336,6,388,4,2,3,1
3617336,6,333,5,2,2,1
3617339,3,233,1,11,34,4
3617341,13,230,1,3,6,1
3617359,13,230,1,3,6,1
3617359,13,294,2,5,5,1
3617359,13,371,3,3,4,1
3617363,4,349,1,2,6,1
3617363,4,386,2,2,5,1
3617363,4,112,3,2,4,1
3617373,11,228,1,4,6,1
3617388,3,69,1,11,34,4
3617389,6,388,1,2,6,1
3617389,6,182,2,2,5,1
3617392,1,177,1,2,6,1
3617392,1,328,2,2,5,1
3617395,5,208,1,11,33,3
3617395,5,102,2,3,5,1
3617395,5,181,3,3,23,3
3617395,5,332,4,3,3,1
3617395,5,126,5,11,15,5
3617407,1,215,1,11,6,1
3617421,11,225,1,11,33,3
3617435,5,269,1,11,6,1
3617435,5,208,2,11,5,1
3617435,5,71,3,11,4,1
3617435,5,219,4,11,3,1
3617435,5,363,5,11,2,1
3617435,5,190,6,11,1,1
3617439,4,207,1,11,6,1
3617439,4,417,2,11,5,1
3617452,3,124,1,11,35,5
3617452,3,348,2,3,5,1
3617452,3,179,3,3,4,1
3617452,3,330,4,3,3,1
3617452,3,319,5,3,2,1
3617469,4,362,1,11,35,5
3617469,4,268,2,11,5,1
3617469,4,112,3,3,4,1
3617469,4,417,4,11,3,1
3617471,12,289,1,3,6,1
3617471,12,370,2,3,5,1
3617471,12,78,3,11,4,1
3617471,12,229,4,3,3,1
