mrun;cod_nivel;es_mujer;prioritario;alto_rendimiento;lat_con_error;lon_con_error
360;3;1;1;1;-33,5707536;-70,6729634
538;11;1;0;1;-33,5498016;-70,7689974
1013;11;0;1;0;-39,6401225;-72,3332512
1508;9;1;1;1;-33,4826295;-70,5699938
1558;7;0;1;0;-33,474392;-70,7211721
1595;8;0;0;0;-36,6271236;-72,1354687
1756;9;0;1;0;-33,61094;-71,4560491
3197;6;0;1;0;-33,025685;-71,5165872
3316;9;0;1;0;-27,4087516;-70,2812152
3956;8;1;0;0;-30,0273271;-70,7145913
4231;8;1;0;0;-29,8709428;-71,2711155
4694;10;1;0;1;-33,5092386;-70,7906075
5039;9;1;1;1;-33,4540336;-70,6331674
5123;9;1;0;1;-33,4002037;-70,665131
5396;9;0;1;0;-41,3928719;-72,9105193
5535;9;0;1;0;-33,5598858;-70,6099697
5806;12;0;0;0;-33,47314;-70,558561
6338;11;1;1;0;-32,8777528;-71,2549923
6364;9;1;0;1;-43,1176689;-73,6291648
7820;9;1;0;1;-33,4763126;-70,5402651
8053;7;0;0;1;-33,5393139;-70,5825569
9984;8;0;0;0;-35,1259182;-71,2882971
10040;12;1;1;0;-33,6462192;-70,3553677
10120;6;1;1;0;-33,6753951;-71,1839751
10647;9;1;1;1;-29,8944484;-71,2553014
10895;9;0;1;0;-41,9559249;-72,4618051
11952;9;0;0;0;-33,6164799;-70,5400048
12563;4;0;1;0;-33,6304022;-70,5986558
12714;11;0;1;0;-40,1299603;-72,3874062
12909;6;0;1;0;-34,0729915;-70,7297757
12936;9;1;0;0;-33,5739842;-70,6007775
13446;5;0;0;0;-33,419444;-70,7238781
14372;8;0;1;0;-33,1054664;-71,6680263
14717;4;0;0;0;-36,6023719;-72,9687353
14967;11;0;1;0;-26,3429152;-70,6190529
15272;10;1;1;1;-38,7460621;-72,5787928
15628;9;1;1;0;-33,6543154;-71,150553
15703;7;1;1;0;-33,4382165;-70,7185206
15940;11;1;1;0;-33,5623898;-70,6506792
16113;7;1;1;0;-29,9559932;-71,2620604
16481;9;1;1;1;-38,2404785;-72,3190039
17186;9;0;1;1;-41,3221532;-72,977042
17818;4;1;1;0;-20,2141698;-70,1546203
18256;6;0;1;0;-20,2465958;-70,1271615
18634;8;1;1;0;-34,1382965;-70,7403914
18849;5;1;0;0;-35,5768176;-71,6516517
19174;4;1;1;1;-33,5335779;-70,7848044
20383;6;0;0;0;-33,5282353;-70,6536218
20468;9;0;1;0;-34,249954;-70,924977
20732;9;1;1;0;-33,5537834;-70,6258125
20817;9;1;1;0;-33,5305056;-70,7816603
21412;9;0;0;1;-38,7617835;-72,5988606
22177;5;0;0;0;-33,5295497;-70,6659128
22776;12;1;1;0;-41,2559353;-73,0113793
24561;9;1;0;0;-33,4509936;-70,6335448
24689;7;1;1;0;-38,7187007;-73,1836064
24989;9;0;0;0;-23,1067684;-70,4436802
25475;9;1;0;0;-33,4420301;-70,7551044
26095;11;1;1;1;-33,4975458;-70,7228902
26593;9;0;1;1;-33,6752556;-70,9453537
26985;11;0;0;0;-33,3599129;-70,7341413
27869;12;1;1;0;-32,8845236;-71,2614427
28569;5;1;0;0;-33,336958;-70,46897
28675;12;1;0;0;-33,4931807;-70,6110697
28928;2;0;1;0;-33,6771652;-71,2346977
