mrun;cod_nivel;rbd_admitido;cod_curso_admitido
360;3;11818;311000000133
538;11;26137;331000000133
1013;11;16843;361061003133
1508;9;9140;131000000133
1558;7;24685;711000000133
1595;8;18099;811000000133
1756;9;10832;131000000333
3197;6;12330;611000000232
3316;9; ; 
3956;8;13606;811000000133
4231;8;562;811000000133
4694;10;25790;231000000131
5039;9;8814;131000000133
5123;9;8490;131000000133
5396;9;7627;131000000123
5535;9;9281;131000000133
5806;12;25028;441041005131
6338;11;1367;331000000113
6364;9;8255;131000000133
7820;9;9209;131000000113
8053;7;25196;711000000133
9984;8;16685;811000000133
10040;12;25439;431000000133
10120;6;10831;611000000132
10647;9;967;131000000133
10895;9;22027;131000000133
11952;9;10496;131000000123
12563;4;25201;411000000133
12714;11;11591;351051009133
12909;6;15646;611000000133
12936;9;25171;131000000131
13446;5;10109;511000000133
14372;8;1515;811000000133
14717;4;4830;411000000133
14967;11;379;351052013133
15272;10;5703;231000000133
15628;9;10830;131000000113
15703;7;10738;711000000133
15940;11;25645;331000000133
16113;7;620;711000000133
16481;9;20052;131000000133
17186;9;7720;131000000133
17818;4;40043;411000000133
18256;6;126;611000000131
18634;8;11242;811000000133
18849;5;16625;511000000133
19174;4;25042;411000000131
20383;6;9700;611000000133
20468;9;2406;131000000133
20732;9;9332;131000000133
20817;9;22065;131000000133
21412;9;5666;131000000132
22177;5;9789;511000000131
22776;12;22672;431000000133
24561;9;8487;131000000112
24689;7;6501;711000000133
24989;9; ; 
25475;9;24685;131000000133
26095;11;24626;341041005133
26593;9;10711;131000000133
26985;11;8485;331000000121
27869;12;1405;431000000133
28569;5;25395;511000000133
28675;12;9208;431000000133
28928;2;26257;211000000131
29099;9;4702;131000000133
29232;12;25520;431000000133
29709;10;25458;231000000132
30159;4;10228;411000000113
30833;7;8348;711000000133
31433;9;12823;131000000133
32446;9;8506;131000000133
33012;9;1864;131000000133
34277;6;10320;611000000133
34400;5;336;511000000131
34507;5;5590;511000000133
