mrun;rbd_admitido_geo_con_error;cod_curso_admitido_geo_con_error
360;11818;311000000133
538;26137;331000000133
1013;16843;361061003133
1508;9140;131000000133
1558;24685;711000000133
1595;18099;811000000133
1756;10832;131000000333
3197;12330;611000000232
3316; ; 
3956;13606;811000000133
4231;562;811000000133
4694;25790;231000000131
5039;8814;131000000133
5123;8490;131000000133
5396;7627;131000000123
5535;9281;131000000133
5806;25028;441041005131
6338;1367;331000000113
6364;8255;131000000133
7820;9209;131000000113
8053;25196;711000000133
9984;16685;811000000133
10040;25439;431000000133
10120;10831;611000000132
10647;967;131000000133
10895;22027;131000000133
11952;10496;131000000123
12563;25201;411000000133
12714;11591;351051009133
12909;15646;611000000133
12936;25171;131000000131
13446;10109;511000000133
14372;1515;811000000133
14717;4830;411000000133
14967;379;351052013133
15272;5703;231000000133
15628;10830;131000000113
15703;10738;711000000133
15940;25645;331000000133
16113;620;711000000133
16481;20052;131000000133
17186;7720;131000000133
17818;40043;411000000133
18256;126;611000000131
18634;11242;811000000133
18849;16625;511000000133
19174;25042;411000000131
20383;9700;611000000133
20468;2406;131000000133
20732;9332;131000000133
20817;22065;131000000133
21412;5666;131000000132
22177;9789;511000000131
22776;22672;431000000133
24561;8487;131000000112
24689;6501;711000000133
24989; ; 
25475;24685;131000000133
26095;24626;341041005133
26593;10711;131000000133
26985;8485;331000000121
27869;1405;431000000133
28569;25395;511000000133
28675;9208;431000000133
28928;26257;211000000131
29099;4702;131000000133
29232;25520;431000000133
29709;25458;231000000132
30159;10228;411000000113
30833;8348;711000000133
31433;12823;131000000133
32446;8506;131000000133
33012;1864;131000000133
34277;10320;611000000133
34400;336;511000000131
34507;5590;511000000133
35489;31110;431000000133
36207;12115;231000000133
36208;486;131000000133
36679;22752;271072007133
38294;20095;511000000133
38745;399;131000000133
38773;4160;311000000133
41195;3313;131000000133
41267;8945;231000000113
41683;15646;511000000133
42098;9892;711000000133
42467;25823;811000000131
43163;9684;431000000133
43190;6766;131000000133
43467;1503;131000000133
43559;8505;231000000112
43900;2018;331000000133
44579;2333;511000000133
44831;13185;231000000133
44943;14670;511000000133
45640;12610;231000000133
45930;6115;361063009133
47398;3110;311000000133
47991;2329;131000000133
48916;12602;711000000133
49077;3249;711000000133
49666;19974;131000000133
50039;1667;311000000133
50190;14375;711000000131
50242;7630;611000000113
51503;9206;511000000133
52064;25032;131000000133
52688;1233;611000000133
54126;2938;131000000133
54185;22271;231000000133
54458;10873;231000000133
55724;4984;131000000133
55770;7338;611000000133
56088;9676;411000000233
56964;10516;511000000133
57030;40331;711000000133
57384; ; 
58313;2114;611000000113
58372;1202;411000000133
58662;7505;131000000133
59068;9877;711000000133
59118;9110;811000000133
59371;12005;451052010133
59609; ; 
60493;15832;131000000133
60568;16729;231000000133
62008;438;231000000133
62271;31087;611000000133
63208;52;711000000133
63944;400;711000000133
65106; ; 
66152;1864;131000000133
67182;8945;231000000113
67939;2283;231000000133
68222;1958;131000000133
69196;527;411000000133
69552;6587;711000000133
69628;12961;131000000133
70514;20158;131000000132
70668;2206;411000000133
71112;3434;231000000133
72247;8499;131000000123
72432;10452;131000000133
72603;24956;351053015123
72707;7720;131000000133
73211;12726;711000000133
73561;9695;361064001133
73874;2378;131000000133
74102;5703;711000000133
75030;1674;131000000133
75166;1036;331000000133
75754;13220;131000000133
76370;12217;131000000133
77649;106;811000000133
77899;24935;611000000133
78105;11199;231000000133
78426;2018;331000000133
79295;24935;131000000133
79741;7710;511000000131
79861;2415;311000000131
80174;25396;131000000133
80282;10832;131000000333
80582;7;131000000133
81454;9074;331000000133
82102;15646;131000000133
83006;4535;131000000131
83248;9082;131000000133
84376;2409;411000000133
84387;25395;331000000133
84510;8501;441041005133
84848;1908;611000000133
85424;7651;131000000133
86314;1971;411000000133
87126;10766;811000000133
87332;24946;611000000133
87465;24686;131000000133
88065;5658;131000000132
88111;2007;611000000133
88820;11155;131000000133
89560;15588;811000000133
89712;3348;131000000133
90117;642;611000000133
90624;1977;431000000133
90775;9006;131000000133
90806;22752;161061003133
91240;16583;131000000133
91254;25779;341041005133
91266;11830;511000000131
91318;1873;511000000133
91618;8433;811000000133
92898;12631;131000000133
92908;5654;711000000133
93509;9283;131000000233
93944;3302;331000000113
94391;399;231000000133
95306;6679;311000000133
95348;9117;411000000133
95399;9685;811000000131
96094;530;611000000133
96511;449;131000000133
96633;4982;131000000132
96718;2262;611000000133
97171;25027;461064008133
98908;1422;131000000133
99419;10495;611000000133
99770;3305;131000000133
99802;285;411000000133
100598;3491;811000000133
100710;10207;511000000133
101261;10507;231000000113
101841;3305;131000000133
