mrun_1;mrun_2;mismo_nivel;es_hermano;postula_en_bloque
1558;5754840;0;1;1
1558;26402548;0;1;0
1595;12277621;0;1;1
4231;14034492;0;1;1
12909;26516054;0;1;0
13446;25166778;0;1;1
15272;3317755;0;1;0
15703;25415986;0;1;1
18634;22766911;0;1;1
18634;26775582;0;1;1
20732;22034693;0;1;1
20817;26839871;0;1;1
26985;11193896;0;1;0
28675;12196934;0;1;0
50190;21891752;0;1;1
56088;27634204;0;1;1
58313;9687817;1;1;1
58372;25881364;0;1;1
70668;25691206;0;1;1
77899;26399796;0;1;1
84387;9124893;0;1;1
87126;25409165;0;1;1
87332;7135425;0;1;1
88065;10031109;1;1;0
88111;26560387;0;1;1
90775;26747376;0;1;0
91266;25277006;0;1;1
91618;18803016;0;1;1
92898;14984983;0;1;0
99419;25924681;0;1;0
100598;8206901;0;1;1
100598;26762768;0;1;1
101261;26080669;0;1;0
102853;9717755;0;1;1
102853;20101497;0;1;1
111330;26699465;0;1;0
115557;14957555;0;1;0
115557;24604139;0;1;0
121382;5337525;0;1;1
121382;26041142;0;1;0
121767;20427122;0;1;1
126492;27637852;0;1;1
129028;8669402;0;1;0
129988;26440764;0;1;0
133872;9213792;1;1;1
136742;23551455;0;1;1
136994;26349241;0;1;0
145159;25260166;0;1;1
145775;6539673;0;1;1
147020;25546321;0;1;1
150404;26399899;0;1;1
150547;3437818;0;1;0
150547;13309994;0;1;0
160246;27195293;0;1;0
160246;27238351;0;1;0
162182;26579257;0;1;1
170477;20370529;0;1;1
171857;25427688;0;1;0
171857;25674728;0;1;0
172681;9689448;0;1;0
173862;26445085;0;1;1
173944;5468468;0;1;1
173944;26373769;0;1;0
175849;4842886;0;1;1
176400;25994779;0;1;0
177813;21037918;0;1;1
180439;25904004;0;1;0
181280;5623667;1;1;1
183184;6873920;0;1;0
184444;5747454;0;1;1
184444;18184844;0;1;0
184444;25323210;0;1;1
191004;18225025;0;1;1
191593;4081926;0;1;1
192649;26432217;0;1;0
193878;25900908;0;1;0
193878;25953733;0;1;0
194630;25947370;0;1;1
198436;12798545;0;1;1
198691;27045576;0;1;0
201159;8372578;0;1;1
201159;26435693;0;1;1
201531;6481996;0;1;0
203555;3942628;1;1;1
209912;25542616;0;1;1
213273;2640781;0;1;0
214683;25994032;0;1;0
217409;25897615;0;1;0
219698;26589117;0;1;0
221323;27044013;0;1;0
224384;26330017;0;1;1
225840;26893592;0;1;1
226134;25286441;0;1;0
228329;4204114;0;1;1
231353;26340749;0;1;0
234323;13174198;0;1;1
235630;26774869;0;1;1
237715;25644794;0;1;1
239998;15280422;0;1;1
240245;17703811;0;1;1
240245;26311902;0;1;1
241238;26196792;0;1;1
245328;6055582;0;1;1
250804;26633094;0;1;0
251387;24035117;0;1;0
252179;26856706;0;1;1
255708;6237318;0;1;0
255999;19533575;0;1;1
262998;26674856;0;1;0
268385;26280855;0;1;1
290702;479951;0;1;0
290977;26870989;0;1;0
305058;23035938;0;1;1
305580;26594984;0;1;0
312364;25270829;0;1;1
312985;25271258;0;1;1
315894;26909879;0;1;1
316626;21692946;0;1;0
316626;26818922;0;1;0
319269;1842958;0;1;0
324587;406129;0;1;0
324587;8360271;0;1;0
326443;25264896;0;1;0
330422;25313822;0;1;1
331975;25719728;0;1;0
333294;25733567;0;1;1
340818;25336268;0;1;0
342643;13650174;0;1;1
345623;26714304;0;1;0
349189;26634723;0;1;1
350615;4825076;1;1;0
354198;1648792;0;1;1
358389;15252719;0;1;1
361593;26517474;0;1;0
361924;25455589;0;1;0
364278;10496315;0;1;0
366151;18420941;0;1;0
366151;26334086;0;1;1
366151;26359005;0;1;0
368949;16478542;0;1;0
370592;25181998;0;1;1
372167;26988807;0;1;1
374441;26001188;0;1;1
381740;27630325;0;1;1
382480;26403307;0;1;1
385373;25958658;0;1;1
386812;26872728;0;1;1
388359;11489975;0;1;0
388359;26745244;0;1;0
390618;19242370;0;1;1
395758;4204570;0;1;0
406129;8360271;0;1;1
406478;5934464;0;1;1
408488;21196817;0;1;0
408488;25437264;0;1;0
408866;3171244;0;1;0
409910;26347982;0;1;0
409910;26630945;0;1;0
415286;26139993;0;1;0
417444;26699483;0;1;0
419350;26615781;0;1;1
419482;14522448;1;1;0
431863;27164042;0;1;1
434446;25877187;0;1;1
442874;25937516;0;1;1
444144;23274074;0;1;0
446737;25936412;0;1;0
447496;1975761;0;1;0
447912;3488972;0;1;0
449464;18565938;0;1;1
449464;26580388;0;1;1
455619;27384813;0;1;0
458377;3025060;0;1;0
459273;25411646;0;1;1
464292;26183674;0;1;0
466723;9929551;0;1;0
466759;10339314;0;1;1
470035;25244345;0;1;0
470926;25938591;0;1;0
479115;26779230;0;1;0
481138;9577762;0;1;0
481650;26590095;0;1;0
485222;24523124;0;1;1
489087;27005061;0;1;1
492169;12174081;0;1;1
495190;11944739;0;1;1
497247;26667476;0;1;1
500508;326143;0;1;0
501328;2941005;1;1;1
502641;385637;0;1;1
503195;26447045;0;1;1
509753;21126658;0;1;0
509753;26289180;0;1;1
509753;27632014;0;1;1
511152;16758250;0;1;0
511152;26201674;0;1;1
514945;20184051;0;1;1
516029;7639294;1;1;1
520405;1155803;1;1;1
522033;27047960;0;1;1
528243;24222590;1;1;1
528488;25327713;0;1;0
529633;26509518;0;1;1
529879;25900885;0;1;1
530399;8417098;0;1;1
534813;26825636;0;1;0
536146;25833407;0;1;1
539313;3312001;1;1;0
545154;26180816;0;1;0
548519;26131915;0;1;1
557629;21055146;0;1;0
561042;26360228;0;1;1
565295;18993369;0;1;0
565782;27018330;0;1;1
569453;26136617;0;1;0
569648;26657677;0;1;0
571906;6592258;0;1;1
571934;27640923;0;1;0
574683;26396797;0;1;1
576093;25306795;0;1;1
589378;26339890;0;1;0
599765;12779031;0;1;0
602001;25271967;0;1;0
603929;25940064;0;1;0
604846;15794935;1;1;1
608385;26687884;0;1;1
612453;20066702;1;1;1
615107;9509323;0;1;0
615157;26286999;0;1;1
621330;26646060;0;1;0
624384;25993510;0;1;1
625735;23078643;0;1;0
625736;26005389;0;1;1
626670;4758448;0;1;0
634195;26649585;0;1;1
637501;26555154;0;1;1
645468;26292751;0;1;0
645932;26902295;0;1;0
649847;10902325;0;1;0
651055;26198076;0;1;0
651156;7374686;1;1;1
651156;25454834;0;1;1
652294;23350125;0;1;0
652294;25328500;0;1;0
652844;25223741;0;1;1
655040;12287847;0;1;0
659691;198691;0;1;0
661681;8564406;0;1;0
665982;1076035;0;1;0
677045;19211461;0;1;0
677045;25295020;0;1;0
682256;10096476;0;1;1
683851;26021786;0;1;1
686525;26336693;0;1;0
688021;26598471;0;1;1
689262;8497725;1;1;1
694756;25306085;0;1;1
695783;13358254;0;1;0
696132;7099676;0;1;1
696132;18866655;0;1;1
