"admin_added","agree","auto_eligibility","auto_eligibility_last_run","choice_rank","created_at","eligibility_override","id","last_saved","lottery_entries","lottery_group","lottery_number","lottery_subgroup","lottery_sublottery","lottery_weight","payment_amount","payment_trans_id","priority_super_priority_99","priority_neighborhood_and_sibling_attending","priority_neighborhood_and_sibling_attending_override","priority_neighborhood","priority_neighborhood_override","priority_sibling_attending","priority_sibling_attending_override","priority_sibling_applying","priority_sibling_applying_override","priority_preferred_town_zip_code","priority_rank_1","priority_rank_1_override","priority_rank_2","priority_rank_2_override","priority_rank_3","priority_rank_3_override","priority_rank_4","priority_rank_4_override","priority_rank_5","priority_rank_5_override","priority_rank_6","priority_rank_6_override","program_id","siblings_applying","siblings_current","sis_error","sis_export_timestamp","sis_export_status","status","status_timestamp","student_id","sub_rank","submitted","submitted_timestamp","updated_at","withdrawn","withdrawn_reason","id","grade"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3588295,4
0,0,0,,1,"2024-01-29 21:34:41",0,394535,,1,0,,0,26,1,0.00,,,0,,0,,,,0,,,1,,0,,0,,0,,0,,0,,13287,0,0,,,,-1,,3614303,,1,"2024-01-29 21:36:17","2024-02-05 10:25:18",1,"Test Record",3614303,K
0,0,0,,1,"2024-01-29 21:34:41",0,394536,,1,0,,0,27,1,0.00,,,0,,0,,,,0,,,0,,1,,0,,0,,0,,0,,13295,0,0,,,,-1,,3614303,,1,"2024-01-29 21:36:17","2024-02-05 10:25:29",1,"Test Record",3614303,K
0,0,0,,1,"2024-02-10 22:47:38",0,432058,,1,517,,0,32,1,0.00,,,0,,0,,,,0,,0,1,,0,,0,,0,,0,,0,,13276,0,0,,,,1,"2024-03-24 09:41:38",3614307,,1,"2024-02-10 22:51:56","2024-03-25 13:32:39",0,,3614307,10
0,0,0,,2,"2024-02-10 22:47:38",0,432059,,1,517,,0,33,1,0.00,,,0,,0,,,,0,,0,0,,1,,0,,0,,0,,0,,13293,0,0,,,,1,"2024-03-24 09:41:38",3614307,,1,"2024-02-10 22:51:56","2024-03-25 13:29:09",0,,3614307,10
0,0,0,,4,"2024-01-30 17:00:25",0,400113,,1,517,,0,35,1,0.00,,,0,,0,,,,0,,0,0,,0,,0,,1,,0,,0,,13280,0,0,,,,1,"2024-03-24 09:00:42",3615807,,1,"2024-02-01 14:45:06","2024-03-25 13:28:54",0,,3615807,12
0,0,0,,3,"2024-01-30 17:00:25",0,400114,,1,517,,0,34,1,0.00,,,0,,0,,,,0,,0,0,,0,,1,,0,,0,,0,,13293,0,0,,,,1,"2024-03-24 09:00:42",3615807,,1,"2024-02-01 14:45:06","2024-03-25 13:28:57",0,,3615807,12
0,0,0,,2,"2024-01-30 17:00:25",0,400115,,1,515,,0,33,1,0.00,,,0,,0,,,,0,,0,0,,1,,0,,0,,0,,0,,13298,0,0,,,,1,"2024-03-24 09:00:43",3615807,,1,"2024-02-01 14:45:06","2024-03-26 10:31:03",0,,3615807,12
0,0,0,,1,"2024-01-30 17:00:26",0,400116,,1,517,,0,32,1,0.00,,,0,,0,,,,0,,0,1,,0,,0,,0,,0,,0,,20947,0,0,,,,1,"2024-03-24 09:00:43",3615807,,1,"2024-02-01 14:45:06","2024-03-25 13:28:55",0,,3615807,12
0,0,0,,1,"2024-01-30 14:39:10",0,399133,,1,516,,0,4,1,0.00,,,0,,0,,1,,0,,0,1,,0,,0,,0,,0,,0,,13276,0,0,,,,1,"2024-03-24 08:57:34",3615838,,1,"2024-01-30 14:41:34","2024-03-25 13:32:23",0,,3615838,7
0,0,0,,2,"2024-01-30 00:15:03",0,394783,,1,509,,0,33,1,0.00,,,0,,0,,,,0,,0,0,,1,,0,,0,,0,,0,,13281,0,0,,,,1,"2024-03-24 08:40:20",3615894,,1,"2024-01-30 00:15:44","2024-03-25 13:32:00",0,,3615894,6
0,0,0,,1,"2024-01-30 00:15:03",0,394784,,1,509,,0,3,1,0.00,,,0,,1,,,,0,,0,1,,0,,0,,0,,0,,0,,13297,0,0,,,,1,"2024-03-24 08:40:20",3615894,,1,"2024-01-30 00:15:44","2024-03-25 13:34:15",0,,3615894,6
0,0,0,,0,"2024-01-30 10:38:55",0,396444,,1,0,,0,32,1,0.00,,,0,,0,,,,0,,,0,,0,,0,,0,,0,,0,,13207,0,0,,,,-1,,3615907,,0,,"2024-01-30 10:40:04",1,"Updated application choices [13237, 13267, 13288, 13289, 13290, 13296] missing 13207",3615907,1
0,0,0,,1,"2024-01-30 10:38:55",0,396445,,1,509,,0,32,1,0.00,,,0,,0,,,,0,,0,1,,0,,0,,0,,0,,0,,13237,0,0,,,,1,"2024-03-24 08:46:33",3615907,,1,"2024-01-30 10:41:18","2024-03-25 13:22:16",0,,3615907,1
0,0,0,,3,"2024-01-30 10:38:55",0,396446,,1,509,,0,35,1,0.00,,,0,,0,,,,0,,0,0,,0,,0,,1,,0,,0,,13267,0,0,,,,1,"2024-03-24 08:46:33",3615907,,1,"2024-01-30 10:41:18","2024-08-23 08:13:31",0,,3615907,1
0,0,0,,2,"2024-01-30 10:38:56",0,396447,,1,509,,0,33,1,0.00,,,0,,0,,,,0,,0,0,,1,,0,,0,,0,,0,,13289,0,0,,,,1,"2024-03-24 08:46:34",3615907,,1,"2024-01-30 10:41:18","2024-08-23 08:13:31",1,"She’s in Wexler school",3615907,1
