Program ID,Program Name,Grade,Original Cutoff (from settings),Lottery Group,Lottery Group ID,Lottery Sub Group,Lottery Sub Group ID
"13198","CO-OP: Band (Non-String)","9","0","General Lottery","509","","0"
"13198","CO-OP: Band (Non-String)","9","8","New Haven Resident","517","","0"
"13198","CO-OP: Band (Non-String)","9","4","Suburban Market - Non-Resident","518","","0"
"13198","CO-OP: Band (Non-String)","10","0","General Lottery","509","","0"
"13198","CO-OP: Band (Non-String)","10","0","New Haven Resident","517","","0"
"13198","CO-OP: Band (Non-String)","10","0","Suburban Market - Non-Resident","518","","0"
"13198","CO-OP: Band (Non-String)","11","0","General Lottery","509","","0"
"13198","CO-OP: Band (Non-String)","11","2","New Haven Resident","517","","0"
"13198","CO-OP: Band (Non-String)","11","3","Suburban Market - Non-Resident","518","","0"
"13198","CO-OP: Band (Non-String)","12","0","General Lottery","509","","0"
"13198","CO-OP: Band (Non-String)","12","0","New Haven Resident","517","","0"
"13198","CO-OP: Band (Non-String)","12","0","Suburban Market - Non-Resident","518","","0"
"13199","CO-OP: Dance","9","0","General Lottery","509","","0"
"13199","CO-OP: Dance","9","17","New Haven Resident","517","","0"
"13199","CO-OP: Dance","9","13","Suburban Market - Non-Resident","518","","0"
"13199","CO-OP: Dance","10","1","General Lottery","509","","0"
"13199","CO-OP: Dance","10","0","New Haven Resident","517","","0"
"13199","CO-OP: Dance","10","2","Suburban Market - Non-Resident","518","","0"
"13199","CO-OP: Dance","11","0","General Lottery","509","","0"
"13199","CO-OP: Dance","11","5","New Haven Resident","517","","0"
"13199","CO-OP: Dance","11","3","Suburban Market - Non-Resident","518","","0"
"13199","CO-OP: Dance","12","0","General Lottery","509","","0"
"13199","CO-OP: Dance","12","0","New Haven Resident","517","","0"
"13199","CO-OP: Dance","12","0","Suburban Market - Non-Resident","518","","0"
"13200","CO-OP: Orchestra (Strings)","9","0","General Lottery","509","","0"
"13200","CO-OP: Orchestra (Strings)","9","7","New Haven Resident","517","","0"
"13200","CO-OP: Orchestra (Strings)","9","5","Suburban Market - Non-Resident","518","","0"
"13200","CO-OP: Orchestra (Strings)","10","0","General Lottery","509","","0"
"13200","CO-OP: Orchestra (Strings)","10","3","New Haven Resident","517","","0"
"13200","CO-OP: Orchestra (Strings)","10","1","Suburban Market - Non-Resident","518","","0"
"13200","CO-OP: Orchestra (Strings)","11","0","General Lottery","509","","0"
"13200","CO-OP: Orchestra (Strings)","11","4","New Haven Resident","517","","0"
"13200","CO-OP: Orchestra (Strings)","11","3","Suburban Market - Non-Resident","518","","0"
"13200","CO-OP: Orchestra (Strings)","12","0","General Lottery","509","","0"
"13200","CO-OP: Orchestra (Strings)","12","0","New Haven Resident","517","","0"
"13200","CO-OP: Orchestra (Strings)","12","0","Suburban Market - Non-Resident","518","","0"
"13201","CO-OP: Percussion","9","0","General Lottery","509","","0"
"13201","CO-OP: Percussion","9","2","New Haven Resident","517","","0"
"13201","CO-OP: Percussion","9","1","Suburban Market - Non-Resident","518","","0"
"13201","CO-OP: Percussion","10","0","General Lottery","509","","0"
"13201","CO-OP: Percussion","10","0","New Haven Resident","517","","0"
"13201","CO-OP: Percussion","10","0","Suburban Market - Non-Resident","518","","0"
"13201","CO-OP: Percussion","11","0","General Lottery","509","","0"
"13201","CO-OP: Percussion","11","0","New Haven Resident","517","","0"
"13201","CO-OP: Percussion","11","0","Suburban Market - Non-Resident","518","","0"
"13201","CO-OP: Percussion","12","0","General Lottery","509","","0"
"13201","CO-OP: Percussion","12","0","New Haven Resident","517","","0"
"13201","CO-OP: Percussion","12","0","Suburban Market - Non-Resident","518","","0"
"13202","CO-OP: Theatre","9","0","General Lottery","509","","0"
"13202","CO-OP: Theatre","9","24","New Haven Resident","517","","0"
"13202","CO-OP: Theatre","9","16","Suburban Market - Non-Resident","518","","0"
"13202","CO-OP: Theatre","10","0","General Lottery","509","","0"
"13202","CO-OP: Theatre","10","5","New Haven Resident","517","","0"
"13202","CO-OP: Theatre","10","3","Suburban Market - Non-Resident","518","","0"
